[det(dog-2, A-1), nsubj(toy-6, dog-2), cop(toy-6, is-3), case(toy-6, with-4), det(toy-6, a-5), root(ROOT-0, toy-6), punct(toy-6, .-7)] 	[det(dog-2, A-1), nsubj(has-3, dog-2), root(ROOT-0, has-3), det(toy-5, a-4), dobj(has-3, toy-5), punct(has-3, .-6)] 	1
[nummod(men-2, Two-1), nsubj(cars-6, men-2), cop(cars-6, are-3), case(cars-6, in-4), nmod:poss(cars-6, their-5), root(ROOT-0, cars-6), case(traffic-9, in-7), amod(traffic-9, heavy-8), nmod:in(cars-6, traffic-9)] 	[det(people-3, The-1), nummod(people-3, two-2), nsubj(driving-5, people-3), aux(driving-5, are-4), root(ROOT-0, driving-5), dobj(driving-5, trucks-6), punct(driving-5, .-7)] 	109
[nummod(men-2, Two-1), root(ROOT-0, men-2), amod(men-2, located-3), case(cabin-7, in-4), det(cabin-7, a-5), compound(cabin-7, control-6), nmod:in(located-3, cabin-7), punct(men-2, .-8)] 	[nummod(men-2, Two-1), nsubjpass(seated-9, men-2), case(branch-7, from-3), det(branch-7, the-4), amod(branch-7, same-5), amod(branch-7, military-6), nmod:from(men-2, branch-7), auxpass(seated-9, are-8), root(ROOT-0, seated-9), case(bus-12, on-10), det(bus-12, a-11), nmod:on(seated-9, bus-12), punct(seated-9, .-13)] 	110
[det(dog-4, The-1), amod(dog-4, big-2), amod(dog-4, black-3), nsubj(dog-10, dog-4), cop(dog-10, is-5), case(dog-10, behind-6), det(dog-10, the-7), amod(dog-10, small-8), amod(dog-10, black-9), root(ROOT-0, dog-10), punct(dog-10, .-11)] 	[amod(dog-4, Black-1), cc(Black-1, and-2), conj:and(Black-1, white-3), nsubj(chasing-6, dog-4), aux(chasing-6, is-5), root(ROOT-0, chasing-6), det(cat-8, a-7), dobj(chasing-6, cat-8), punct(chasing-6, .-9)] 	111
[det(dog-2, The-1), nsubj(driving-4, dog-2), aux(driving-4, is-3), root(ROOT-0, driving-4), det(car-6, a-5), dobj(driving-4, car-6), punct(driving-4, .-7)] 	[det(man-2, The-1), nsubj(driving-4, man-2), aux(driving-4, is-3), root(ROOT-0, driving-4), det(car-7, a-5), amod(car-7, blue-6), dobj(driving-4, car-7), punct(driving-4, .-8)] 	112
[det(girl-3, This-1), amod(girl-3, little-2), nsubjpass(excited-5, girl-3), auxpass(excited-5, is-4), root(ROOT-0, excited-5), case(wedding-8, about-6), det(wedding-8, the-7), nmod:about(excited-5, wedding-8)] 	[det(girl-3, The-1), amod(girl-3, little-2), nsubj(looking-5, girl-3), aux(looking-5, is-4), root(ROOT-0, looking-5), case(something-7, for-6), nmod:for(looking-5, something-7), amod(something-7, weird-8), punct(looking-5, .-9)] 	113
[det(man-2, The-1), nsubj(wears-3, man-2), root(ROOT-0, wears-3), det(pole-6, a-4), amod(pole-6, green-5), dobj(wears-3, pole-6)] 	[det(man-2, The-1), nsubj(wears-3, man-2), root(ROOT-0, wears-3), det(shirt-7, a-4), amod(shirt-7, green-5), compound(shirt-7, polo-6), dobj(wears-3, shirt-7), punct(wears-3, .-8)] 	114
[expl(is-2, There-1), root(ROOT-0, is-2), neg(color-4, no-3), nsubj(is-2, color-4), case(image-7, in-5), det(image-7, the-6), nmod:in(color-4, image-7), punct(is-2, .-8)] 	[expl(is-2, There-1), root(ROOT-0, is-2), det(sign-4, a-3), nsubj(is-2, sign-4), case(image-7, in-5), det(image-7, this-6), nmod:in(sign-4, image-7), punct(is-2, .-8)] 	115
[det(tourist-2, A-1), nsubj(using-4, tourist-2), aux(using-4, is-3), root(ROOT-0, using-4), dobj(using-4, binoculars-5), mark(see-7, to-6), advcl(using-4, see-7), det(ocean-9, the-8), dobj(see-7, ocean-9), punct(using-4, .-10)] 	[det(dog-2, The-1), root(ROOT-0, dog-2), acl(dog-2, is-3), mark(jump-6, about-4), mark(jump-6, to-5), xcomp(is-3, jump-6), case(water-9, into-7), det(water-9, the-8), nmod:into(jump-6, water-9), punct(dog-2, .-10)] 	116
[det(boy-3, A-1), amod(boy-3, young-2), nsubj(holding-11, boy-3), case(coat-6, with-4), det(coat-6, a-5), nmod:with(boy-3, coat-6), case(head-9, on-7), nmod:poss(head-9, his-8), nmod:on(coat-6, head-9), aux(holding-11, is-10), root(ROOT-0, holding-11), nmod:poss(goat-13, his-12), dobj(holding-11, goat-13), punct(holding-11, .-14)] 	[det(boy-3, A-1), amod(boy-3, young-2), nsubj(wore-7, boy-3), dep(wore-7, becoming-4), det(fool-6, a-5), nsubj(wore-7, fool-6), root(ROOT-0, wore-7), nmod:poss(coat-9, his-8), dobj(wore-7, coat-9), case(head-12, on-10), nmod:poss(head-12, his-11), nmod:on(wore-7, head-12), cc(wore-7, and-13), conj:and(wore-7, holds-14), det(goat-16, a-15), dobj(holds-14, goat-16), punct(wore-7, .-17)] 	117
[det(woman-2, A-1), nsubj(works-3, woman-2), root(ROOT-0, works-3), case(factory-7, in-4), det(factory-7, a-5), compound(factory-7, cheese-6), nmod:in(works-3, factory-7), punct(works-3, .-8)] 	[det(man-2, A-1), nsubj(bread-8, man-2), cop(bread-8, is-3), case(bread-8, in-4), det(bread-8, the-5), compound(bread-8, kitchen-6), compound(bread-8, cooking-7), root(ROOT-0, bread-8), punct(bread-8, .-9)] 	118
[det(man-2, The-1), nsubj(jogging-7, man-2), cc(man-2, and-3), det(women-5, the-4), conj:and(man-2, women-5), cop(jogging-7, are-6), root(ROOT-0, jogging-7), punct(jogging-7, .-8)] 	[expl(are-2, There-1), root(ROOT-0, are-2), nsubj(walking-6, men-3), cc(men-3, and-4), conj:and(men-3, women-5), ccomp(are-2, walking-6), punct(are-2, .-7)] 	119
[det(man-2, A-1), root(ROOT-0, man-2), mark(reading-4, inside-3), acl(man-2, reading-4), det(newspaper-6, the-5), dobj(reading-4, newspaper-6), punct(man-2, .-7)] 	[det(man-2, A-1), root(ROOT-0, man-2), acl(man-2, reading-3), det(newspaper-5, the-4), dobj(reading-3, newspaper-5), advmod(reading-3, outside-6), punct(man-2, .-7)] 	120
[nummod(men-2, Two-1), nsubj(gather-3, men-2), root(ROOT-0, gather-3), case(lunch-5, for-4), nmod:for(gather-3, lunch-5), mark(discuss-7, to-6), xcomp(gather-3, discuss-7), dobj(discuss-7, business-8), punct(gather-3, .-9)] 	[nummod(men-2, Three-1), nsubj(discuss-3, men-2), root(ROOT-0, discuss-3), dobj(discuss-3, business-4), case(lunch-6, during-5), nmod:during(discuss-3, lunch-6), punct(discuss-3, .-7)] 	121
[det(woman-3, A-1), amod(woman-3, young-2), nsubj(looks-4, woman-3), root(ROOT-0, looks-4), advmod(looks-4, away-5), mark(shy-9, because-6), nsubj(shy-9, she-7), cop(shy-9, is-8), advcl(looks-4, shy-9), punct(looks-4, .-10)] 	[det(boy-3, A-1), amod(boy-3, young-2), nsubj(is-4, boy-3), root(ROOT-0, is-4), mark(paint-7, about-5), mark(paint-7, to-6), xcomp(is-4, paint-7), nmod:poss(face-9, his-8), dobj(paint-7, face-9), punct(is-4, .-10)] 	122
[det(group-2, A-1), nsubj(crouched-6, group-2), case(runners-5, of-3), nummod(runners-5, five-4), nmod:of(group-2, runners-5), root(ROOT-0, crouched-6), case(crowd-12, in-7), mwe(in-7, front-8), mwe(in-7, of-9), det(crowd-12, a-10), amod(crowd-12, large-11), nmod:in_front_of(crouched-6, crowd-12), punct(crouched-6, .-13)] 	[nummod(men-2, Two-1), root(ROOT-0, men-2), case(crowd-7, in-3), mwe(in-3, front-4), mwe(in-3, of-5), det(crowd-7, a-6), nmod:in_front_of(men-2, crowd-7), punct(men-2, .-8)] 	123
[det(dog-2, The-1), nsubj(wearing-4, dog-2), aux(wearing-4, is-3), root(ROOT-0, wearing-4), det(collar-6, a-5), dobj(wearing-4, collar-6), punct(wearing-4, .-7)] 	[det(dog-2, The-1), nsubj(wearing-4, dog-2), aux(wearing-4, is-3), root(ROOT-0, wearing-4), det(collar-7, a-5), amod(collar-7, red-6), dobj(wearing-4, collar-7), punct(wearing-4, .-8)] 	124
[det(couple-2, A-1), nsubj(enjoying-4, couple-2), aux(enjoying-4, is-3), root(ROOT-0, enjoying-4), det(connoved-6, a-5), dobj(enjoying-4, connoved-6), acl(connoved-6, sitting-7), case(sofa-10, on-8), det(sofa-10, a-9), nmod:on(sitting-7, sofa-10), punct(enjoying-4, .-11)] 	[det(couple-2, A-1), nsubj(enjoying-4, couple-2), aux(enjoying-4, is-3), root(ROOT-0, enjoying-4), det(session-7, a-5), amod(session-7, moving-6), dobj(enjoying-4, session-7), case(sofa-10, on-8), det(sofa-10, a-9), nmod:on(session-7, sofa-10), acl(sofa-10, watching-11), det(movie-13, a-12), dobj(watching-11, movie-13), punct(enjoying-4, .-14)] 	125
[nummod(people-2, Four-1), nsubj(jumping-4, people-2), aux(jumping-4, are-3), root(ROOT-0, jumping-4), case(air-7, in-5), det(air-7, the-6), nmod:in(jumping-4, air-7), punct(jumping-4, .-8)] 	[nsubj(jumping-3, People-1), aux(jumping-3, are-2), root(ROOT-0, jumping-3), case(air-6, in-4), det(air-6, the-5), nmod:in(jumping-3, air-6), punct(jumping-3, .-7)] 	126
[det(animal-2, An-1), nsubj(plays-3, animal-2), root(ROOT-0, plays-3), case(hoop-6, with-4), det(hoop-6, a-5), nmod:with(plays-3, hoop-6), punct(plays-3, .-7)] 	[det(man-3, An-1), amod(man-3, African-2), nsubj(doing-6, man-3), aux(doing-6, is-4), neg(doing-6, not-5), root(ROOT-0, doing-6), det(trick-8, a-7), dobj(doing-6, trick-8), case(stick-11, with-9), det(stick-11, a-10), nmod:with(doing-6, stick-11), punct(doing-6, .-12)] 	127
[det(men-2, The-1), nsubj(drove-3, men-2), root(ROOT-0, drove-3)] 	[nummod(men-2, Two-1), root(ROOT-0, men-2), acl(men-2, sitting-3), case(bikes-6, near-4), nmod:poss(bikes-6, their-5), nmod:near(sitting-3, bikes-6)] 	128
[nummod(firefighters-2, Two-1), nsubj(work-3, firefighters-2), root(ROOT-0, work-3), case(truck-7, in-4), det(truck-7, the-5), compound(truck-7, fire-6), nmod:in(work-3, truck-7), punct(work-3, .-8)] 	[nummod(workers-2, Three-1), nsubj(leaving-4, workers-2), aux(leaving-4, are-3), root(ROOT-0, leaving-4), nmod:poss(building-6, their-5), dobj(leaving-4, building-6), case(flames-8, in-7), nmod:in(leaving-4, flames-8), case(fire-11, during-9), det(fire-11, a-10), nmod:during(leaving-4, fire-11), punct(leaving-4, .-12)] 	129
[det(match-3, The-1), compound(match-3, volleyball-2), nsubj(ongoing-5, match-3), cop(ongoing-5, is-4), root(ROOT-0, ongoing-5), case(ladies-8, between-6), det(ladies-8, the-7), nmod:between(ongoing-5, ladies-8)] 	[root(ROOT-0, Women-1), acl(Women-1, participating-2), case(finals-5, in-3), det(finals-5, the-4), nmod:in(participating-2, finals-5), case(competition-9, of-6), det(competition-9, the-7), compound(competition-9, tennis-8), nmod:of(finals-5, competition-9)] 	130
[det(woman-2, A-1), root(ROOT-0, woman-2), case(hair-5, with-3), amod(hair-5, gray-4), nmod:with(woman-2, hair-5), cc(hair-5, and-6), det(dress-9, a-7), amod(dress-9, white-8), conj:and(hair-5, dress-9), amod(dress-9, standing-10), case(wall-15, in-11), mwe(in-11, front-12), mwe(in-11, of-13), det(wall-15, a-14), nmod:in_front_of(standing-10, wall-15), punct(woman-2, .-16)] 	[det(man-2, A-1), root(ROOT-0, man-2), amod(man-2, standing-3), case(wall-9, in-4), mwe(in-4, front-5), mwe(in-4, of-6), det(wall-9, a-7), amod(wall-9, blue-8), nmod:in_front_of(standing-3, wall-9), case(shirt-13, with-10), det(shirt-13, a-11), amod(shirt-13, brown-12), nmod:with(wall-9, shirt-13), cc(shirt-13, and-14), amod(pants-16, white-15), conj:and(shirt-13, pants-16), punct(man-2, .-17)] 	131
[case(China-2, In-1), nmod:in(do-8, China-2), punct(do-8, ,-3), nsubj(do-8, workers-4), case(field-7, in-5), det(field-7, the-6), nmod:in(workers-4, field-7), root(ROOT-0, do-8), nmod:poss(homework-10, their-9), dobj(do-8, homework-10), mark(goes-14, while-11), det(sun-13, the-12), nsubj(goes-14, sun-13), advcl(do-8, goes-14), advmod(goes-14, down-15), punct(do-8, .-16)] 	[nsubj(do-4, Workers-1), case(China-3, in-2), nmod:in(Workers-1, China-3), root(ROOT-0, do-4), dobj(do-4, homework-5), mark(goes-9, while-6), det(sun-8, the-7), nsubj(goes-9, sun-8), advcl(do-4, goes-9), advmod(goes-9, down-10), punct(do-4, .-11)] 	132
[det(boy-2, A-1), nsubj(finishing-3, boy-2), root(ROOT-0, finishing-3), nmod:poss(cone-7, his-4), compound(cone-7, ice-5), compound(cone-7, cream-6), dobj(finishing-3, cone-7), xcomp(finishing-3, grimaces-8), case(camera-11, at-9), det(camera-11, the-10), nmod:at(grimaces-8, camera-11), punct(finishing-3, .-12)] 	[det(woman-2, A-1), nsubj(reading-6, woman-2), case(glasses-4, with-3), nmod:with(woman-2, glasses-4), aux(reading-6, is-5), root(ROOT-0, reading-6), det(side-8, a-7), dobj(reading-6, side-8), case(bowl-12, of-9), det(bowl-12, a-10), compound(bowl-12, metal-11), nmod:of(side-8, bowl-12)] 	133
[det(crowd-2, A-1), nsubj(event-6, crowd-2), cop(event-6, is-3), case(event-6, at-4), det(event-6, an-5), root(ROOT-0, event-6), punct(event-6, .-7)] 	[det(race-2, A-1), nsubj(taking-4, race-2), aux(taking-4, is-3), root(ROOT-0, taking-4), dobj(taking-4, place-5), case(stadium-8, in-6), det(stadium-8, a-7), nmod:in(taking-4, stadium-8), punct(taking-4, .-9)] 	134
[compound(workers-2, Construction-1), nsubj(using-4, workers-2), aux(using-4, are-3), root(ROOT-0, using-4), amod(plans-7, specific-5), compound(plans-7, floor-6), dobj(using-4, plans-7), punct(using-4, .-8)] 	[compound(workers-2, Construction-1), nsubj(using-4, workers-2), aux(using-4, are-3), root(ROOT-0, using-4), dobj(using-4, tools-5), mark(work-7, to-6), advcl(using-4, work-7), case(tunnel-10, in-8), det(tunnel-10, the-9), nmod:in(work-7, tunnel-10), punct(using-4, .-11)] 	135
[det(girl-3, A-1), amod(girl-3, young-2), nsubj(standing-9, girl-3), acl(girl-3, holding-4), nummod(sticks-7, two-5), amod(sticks-7, walking-6), dobj(holding-4, sticks-7), aux(standing-9, is-8), root(ROOT-0, standing-9), case(rock-12, on-10), det(rock-12, a-11), nmod:on(standing-9, rock-12), case(creek-15, in-13), det(creek-15, a-14), nmod:in(rock-12, creek-15), punct(standing-9, .-16)] 	[det(man-2, A-1), nsubj(climbing-7, man-2), cc(man-2, and-3), det(woman-5, a-4), conj:and(man-2, woman-5), aux(climbing-7, are-6), root(ROOT-0, climbing-7), case(mountain-10, on-8), det(mountain-10, a-9), nmod:on(climbing-7, mountain-10), punct(climbing-7, .-11)] 	136
[nsubj(walking-3, People-1), aux(walking-3, are-2), root(ROOT-0, walking-3), case(station-6, through-4), det(station-6, a-5), nmod:through(walking-3, station-6), punct(walking-3, .-7)] 	[expl(are-2, There-1), root(ROOT-0, are-2), nsubj(walking-4, people-3), ccomp(are-2, walking-4), case(street-8, on-5), det(street-8, a-6), amod(street-8, busy-7), nmod:on(walking-4, street-8), punct(are-2, .-9)] 	137
[det(man-2, A-1), nsubj(stage-6, man-2), cop(stage-6, is-3), case(stage-6, on-4), det(stage-6, the-5), root(ROOT-0, stage-6), punct(stage-6, .-7)] 	[det(man-2, This-1), nsubj(stage-5, man-2), cop(stage-5, is-3), case(stage-5, on-4), root(ROOT-0, stage-5)] 	138
[det(woman-2, The-1), nsubj(taking-4, woman-2), aux(taking-4, is-3), root(ROOT-0, taking-4), dobj(taking-4, care-5), case(child-8, of-6), det(child-8, the-7), nmod:of(care-5, child-8), punct(taking-4, .-9)] 	[det(boy-2, A-1), nsubj(running-4, boy-2), aux(running-4, is-3), root(ROOT-0, running-4), case(mother-7, towards-5), nmod:poss(mother-7, his-6), nmod:towards(running-4, mother-7), punct(running-4, .-8)] 	139
[expl(is-2, There-1), root(ROOT-0, is-2), det(person-4, a-3), nsubj(is-2, person-4), acl(person-4, standing-5), case(building-9, next-6), mwe(next-6, to-7), det(building-9, the-8), nmod:next_to(standing-5, building-9), acl(building-9, wearing-10), det(suit-12, a-11), dobj(wearing-10, suit-12), punct(is-2, .-13)] 	[det(man-2, A-1), root(ROOT-0, man-2), case(suit-6, in-3), det(suit-6, a-4), amod(suit-6, black-5), nmod:in(man-2, suit-6), acl(suit-6, sitting-7), case(steps-10, on-8), det(steps-10, the-9), nmod:on(sitting-7, steps-10), case(building-13, of-11), det(building-13, a-12), nmod:of(steps-10, building-13), punct(man-2, .-14)] 	140
[det(man-2, A-1), nsubj(walks-3, man-2), root(ROOT-0, walks-3), case(city-6, in-4), det(city-6, the-5), nmod:in(walks-3, city-6), punct(walks-3, .-7)] 	[det(woman-2, A-1), nsubj(walks-3, woman-2), root(ROOT-0, walks-3), case(city-6, in-4), det(city-6, the-5), nmod:in(walks-3, city-6), punct(walks-3, .-7)] 	141
[det(group-2, A-1), root(ROOT-0, group-2), case(women-4, of-3), nmod:of(group-2, women-4), case(library-7, in-5), det(library-7, a-6), nmod:in(group-2, library-7), case(children-9, with-8), nmod:with(library-7, children-9), punct(group-2, .-10)] 	[det(group-2, A-1), nsubj(enjoying-7, group-2), case(children-5, of-3), compound(children-5, school-4), nmod:of(group-2, children-5), aux(enjoying-7, are-6), root(ROOT-0, enjoying-7), compound(time-9, story-8), dobj(enjoying-7, time-9), punct(enjoying-7, .-10)] 	142
[det(player-3, A-1), compound(player-3, hockey-2), nsubj(throws-4, player-3), root(ROOT-0, throws-4), det(disc-6, the-5), dobj(throws-4, disc-6), punct(throws-4, .-7)] 	[det(player-3, A-1), compound(player-3, hockey-2), nsubj(playing-5, player-3), aux(playing-5, is-4), root(ROOT-0, playing-5), case(disc-8, with-6), det(disc-8, a-7), nmod:with(playing-5, disc-8), punct(playing-5, .-9)] 	143
[nsubj(doing-2, Couple-1), root(ROOT-0, doing-2), det(dance-4, a-3), dobj(doing-2, dance-4), punct(doing-2, .-5)] 	[amod(girls-2, Young-1), nsubj(perform-3, girls-2), root(ROOT-0, perform-3), case(recital-7, at-4), det(recital-7, a-5), compound(recital-7, dance-6), nmod:at(perform-3, recital-7), punct(perform-3, .-8)] 	144
[det(hiker-2, A-1), root(ROOT-0, hiker-2), case(trail-5, on-3), det(trail-5, a-4), nmod:on(hiker-2, trail-5), acl(trail-5, looking-6), case(life-9, at-7), amod(life-9, animal-8), nmod:at(looking-6, life-9), case(area-13, in-10), det(area-13, a-11), amod(area-13, wooded-12), nmod:in(looking-6, area-13), case(kangaroo-17, with-14), det(kangaroo-17, a-15), amod(kangaroo-17, black-16), nmod:with(area-13, kangaroo-17), punct(hiker-2, .-18)] 	[compound(jogging-2, Man-1), root(ROOT-0, jogging-2), case(path-5, on-3), det(path-5, a-4), nmod:on(jogging-2, path-5), punct(jogging-2, ,-6), case(forest-10, through-7), det(forest-10, a-8), amod(forest-10, large-9), nmod:through(jogging-2, forest-10), punct(jogging-2, .-11)] 	145
[det(band-2, The-1), nsubj(plays-3, band-2), root(ROOT-0, plays-3), case(group-6, for-4), det(group-6, a-5), nmod:for(plays-3, group-6), case(people-8, of-7), nmod:of(group-6, people-8), punct(plays-3, .-9)] 	[det(band-2, The-1), nsubj(performing-4, band-2), aux(performing-4, is-3), root(ROOT-0, performing-4), case(group-7, for-5), det(group-7, a-6), nmod:for(performing-4, group-7), case(people-9, of-8), nmod:of(group-7, people-9), punct(performing-4, .-10)] 	146
[det(boy-2, A-1), nsubj(trip-7, boy-2), cop(trip-7, is-3), case(trip-7, on-4), det(trip-7, a-5), compound(trip-7, school-6), root(ROOT-0, trip-7), case(patch-11, in-8), det(patch-11, a-9), compound(patch-11, pumpkin-10), nmod:in(trip-7, patch-11), punct(trip-7, .-12)] 	[det(girl-3, A-1), amod(girl-3, little-2), nsubj(drawing-5, girl-3), aux(drawing-5, is-4), root(ROOT-0, drawing-5), case(table-8, on-6), det(table-8, a-7), nmod:on(drawing-5, table-8), case(baby-11, near-9), det(baby-11, a-10), nmod:near(table-8, baby-11), punct(drawing-5, .-12)] 	147
[nsubj(game-6, People-1), cop(game-6, are-2), case(game-6, in-3), det(game-6, a-4), compound(game-6, football-5), root(ROOT-0, game-6), punct(game-6, .-7)] 	[det(people-2, Some-1), nsubj(game-7, people-2), cop(game-7, are-3), case(game-7, in-4), det(game-7, a-5), compound(game-7, football-6), root(ROOT-0, game-7), punct(game-7, .-8)] 	148
[det(children-2, Some-1), nsubj(reading-4, children-2), aux(reading-4, are-3), root(ROOT-0, reading-4), advmod(reading-4, silently-5), punct(reading-4, .-6)] 	[det(children-2, The-1), nsubj(reading-4, children-2), aux(reading-4, are-3), root(ROOT-0, reading-4), advmod(reading-4, silently-5), punct(reading-4, .-6)] 	149
[det(bird-2, A-1), nsubj(flies-3, bird-2), root(ROOT-0, flies-3), case(lake-6, over-4), det(lake-6, the-5), nmod:over(flies-3, lake-6), punct(flies-3, .-7)] 	[det(person-2, A-1), nsubj(walking-4, person-2), aux(walking-4, is-3), root(ROOT-0, walking-4), case(ocean-7, towards-5), det(ocean-7, the-6), nmod:towards(walking-4, ocean-7), punct(walking-4, .-8)] 	150
[det(dogs-2, The-1), nsubj(ran-3, dogs-2), root(ROOT-0, ran-3), case(direction-7, in-4), det(direction-7, the-5), amod(direction-7, opposite-6), nmod:in(ran-3, direction-7), punct(ran-3, .-8)] 	[det(man-2, The-1), nsubj(running-7, man-2), cc(man-2, and-3), det(horse-5, the-4), conj:and(man-2, horse-5), aux(running-7, are-6), root(ROOT-0, running-7), advmod(running-7, away-8), case(police-11, from-9), det(police-11, the-10), nmod:from(running-7, police-11), punct(running-7, .-12)] 	151
[det(man-2, A-1), nsubj(rides-3, man-2), root(ROOT-0, rides-3), nmod:poss(bicycle-5, his-4), dobj(rides-3, bicycle-5), case(street-8, on-6), det(street-8, the-7), nmod:on(rides-3, street-8), punct(rides-3, .-9)] 	[det(man-2, A-1), nsubj(rides-3, man-2), root(ROOT-0, rides-3), nmod:poss(bicycle-5, his-4), dobj(rides-3, bicycle-5), case(street-8, on-6), det(street-8, the-7), nmod:on(rides-3, street-8), punct(rides-3, .-9)] 	152
[det(couple-2, The-1), nsubj(eating-4, couple-2), aux(eating-4, is-3), root(ROOT-0, eating-4), punct(eating-4, .-5)] 	[det(family-2, The-1), nsubj(eating-4, family-2), aux(eating-4, is-3), root(ROOT-0, eating-4), compound:prt(eating-4, out-5), punct(eating-4, .-6)] 	153
[det(car-3, The-1), compound(car-3, train-2), nsubj(empty-6, car-3), cop(empty-6, is-4), advmod(empty-6, almost-5), root(ROOT-0, empty-6), punct(empty-6, .-7)] 	[det(car-2, A-1), nsubj(turning-4, car-2), aux(turning-4, is-3), root(ROOT-0, turning-4), compound:prt(turning-4, in-5), dobj(turning-4, front-6), case(bus-9, of-7), det(bus-9, the-8), nmod:of(front-6, bus-9), acl(bus-9, carrying-10), dobj(carrying-10, passengers-11), punct(turning-4, .-12)] 	154
[det(dog-2, The-1), nsubj(taking-4, dog-2), aux(taking-4, is-3), root(ROOT-0, taking-4), det(bath-6, a-5), dobj(taking-4, bath-6), punct(taking-4, .-7)] 	[det(dog-2, A-1), nsubj(taking-4, dog-2), aux(taking-4, is-3), root(ROOT-0, taking-4), det(bath-6, a-5), dobj(taking-4, bath-6), punct(taking-4, .-7)] 	155
[det(woman-2, A-1), nsubj(standing-8, woman-2), case(shirt-6, in-3), det(shirt-6, a-4), amod(shirt-6, pink-5), nmod:in(woman-2, shirt-6), aux(standing-8, is-7), root(ROOT-0, standing-8), case(table-11, behind-9), det(table-11, a-10), nmod:behind(standing-8, table-11), case(dressings-15, with-12), amod(dressings-15, many-13), compound(dressings-15, salad-14), nmod:with(table-11, dressings-15), cc(dressings-15, and-16), compound(plates-18, paper-17), conj:and(dressings-15, plates-18), punct(standing-8, .-19)] 	[det(woman-2, A-1), nsubj(sits-3, woman-2), root(ROOT-0, sits-3), case(table-6, by-4), det(table-6, a-5), nmod:by(sits-3, table-6), acl(table-6, covered-7), case(dishes-9, with-8), nmod:with(covered-7, dishes-9), cc(dishes-9, and-10), conj:and(dishes-9, saucers-11), punct(sits-3, .-12)] 	156
[det(person-2, A-1), nsubj(hat-6, person-2), cop(hat-6, is-3), case(hat-6, without-4), det(hat-6, a-5), root(ROOT-0, hat-6), cc(hat-6, and-7), cop(inside-9, is-8), conj:and(hat-6, inside-9), punct(hat-6, .-10)] 	[det(woman-2, A-1), nsubj(holding-4, woman-2), aux(holding-4, is-3), root(ROOT-0, holding-4), det(can-6, a-5), dobj(holding-4, can-6), punct(holding-4, .-7)] 	157
[det(children-2, The-1), nsubj(laugh-3, children-2), root(ROOT-0, laugh-3), mark(glide-6, as-4), nsubj(glide-6, they-5), advcl(laugh-3, glide-6), case(snow-9, in-7), det(snow-9, the-8), nmod:in(glide-6, snow-9), punct(laugh-3, .-10)] 	[det(cat-3, The-1), amod(cat-3, white-2), nsubj(difficult-5, cat-3), cop(difficult-5, is-4), root(ROOT-0, difficult-5), mark(see-7, to-6), xcomp(difficult-5, see-7), case(snow-10, in-8), det(snow-10, the-9), nmod:in(see-7, snow-10), mark(runs-13, as-11), nsubj(runs-13, it-12), advcl(see-7, runs-13), advmod(runs-13, playfully-14), punct(difficult-5, .-15)] 	158
[nummod(men-2, Two-1), nsubj(fix-3, men-2), root(ROOT-0, fix-3), det(bicycle-5, a-4), dobj(fix-3, bicycle-5), case(garage-8, in-6), det(garage-8, a-7), nmod:in(bicycle-5, garage-8), punct(fix-3, .-9)] 	[nummod(men-2, Two-1), nsubj(fix-3, men-2), root(ROOT-0, fix-3), det(car-5, a-4), dobj(fix-3, car-5), case(garage-8, in-6), det(garage-8, a-7), nmod:in(fix-3, garage-8), punct(fix-3, .-9)] 	159
[det(horse-2, A-1), root(ROOT-0, horse-2), cc(horse-2, and-3), det(car-5, a-4), nsubj(pass-6, car-5), conj:and(horse-2, pass-6), case(water-9, through-7), det(water-9, the-8), nmod:through(pass-6, water-9), punct(horse-2, .-10)] 	[det(man-2, A-1), nsubj(cycling-4, man-2), cop(cycling-4, is-3), root(ROOT-0, cycling-4), case(water-7, in-5), det(water-7, the-6), nmod:in(cycling-4, water-7), punct(cycling-4, .-8)] 	160
[det(boy-2, The-1), nsubj(telling-4, boy-2), aux(telling-4, is-3), root(ROOT-0, telling-4), det(man-6, the-5), dobj(telling-4, man-6), nsubj(do-9, what-7), mark(do-9, to-8), acl:relcl(man-6, do-9), punct(telling-4, .-10)] 	[det(lady-2, The-1), nsubj(talking-5, lady-2), aux(talking-5, is-3), neg(talking-5, not-4), root(ROOT-0, talking-5), case(anyone-7, to-6), nmod:to(talking-5, anyone-7), punct(talking-5, .-8)] 	161
[det(person-2, A-1), nsubj(sleeping-4, person-2), aux(sleeping-4, is-3), root(ROOT-0, sleeping-4), case(home-6, at-5), nmod:at(sleeping-4, home-6), punct(sleeping-4, .-7)] 	[det(person-2, A-1), nsubj(sleeping-4, person-2), aux(sleeping-4, is-3), root(ROOT-0, sleeping-4), case(home-6, at-5), nmod:at(sleeping-4, home-6), punct(sleeping-4, .-7)] 	162
