[A/DT, person/NN, is/VBZ, on/IN, a/DT, baseball/NN, team/NN, ./.] 	[A/DT, person/NN, is/VBZ, playing/VBG, basketball/NN, on/IN, a/DT, team/NN, ./.] 	1
[A/DT, woman/NN, and/CC, a/DT, man/NN, embrace/VB, while/IN, watching/VBG, a/DT, horror/NN, movie/NN, ./.] 	[A/DT, man/NN, and/CC, a/DT, woman/NN, watch/VB, a/DT, movie/NN, together/RB, ./.] 	233
[A/DT, man/NN, in/IN, a/DT, blue/JJ, dress/NN, shirt/NN, ./.] 	[A/DT, man/NN, in/IN, a/DT, white/JJ, shirt/NN, and/CC, blue/JJ, pants/NNS, is/VBZ, talking/VBG, with/IN, a/DT, woman/NN, in/IN, a/DT, pink/JJ, shirt/NN, ./.] 	234
[A/DT, couple/NN, is/VBZ, playing/VBG, the/DT, game/NN, of/IN, Life/NNP, ./.] 	[The/DT, family/NN, is/VBZ, playing/VBG, a/DT, game/NN, together/RB, ./.] 	235
[The/DT, head/NN, of/IN, a/DT, child/NN, with/IN, dark/JJ, glasses/NNS, is/VBZ, in/IN, focus/NN, ./.] 	[There/EX, is/VBZ, a/DT, woman/NN, with/IN, a/DT, full/JJ, head/NN, of/IN, hair/NN, ./.] 	236
[A/DT, dog/NN, walks/VBZ, along/IN, a/DT, beach/NN, with/IN, breaking/VBG, waves/NNS, ./.] 	[A/DT, boy/NN, with/IN, an/DT, oar/NN, walks/VBZ, out/IN, of/IN, the/DT, surf/NN, and/CC, onto/IN, a/DT, beach/NN, ./.] 	237
[A/DT, pair/NN, of/IN, men/NNS, walk/VBP, along/IN, the/DT, beach/NN, ./.] 	[Two/CD, men/NNS, standing/VBG, in/IN, the/DT, surf/NN, on/IN, a/DT, beach/NN, ./.] 	238
[Blond/JJ, woman/NN, in/IN, a/DT, tunnel/NN, ./.] 	[The/DT, couple/NN, kissing/NN, is/VBZ, near/IN, a/DT, blond/JJ, woman/NN, ./.] 	239
[A/DT, maintenance/NN, guy/NN, is/VBZ, repairing/VBG, a/DT, net/NN, on/IN, a/DT, tennis/NN, court/NN, ./.] 	[A/DT, man/NN, removing/VBG, a/DT, tennis/NN, net/NN, ./.] 	240
[A/DT, kid/NN, sits/VBZ, on/IN, a/DT, soccer/NN, ball/NN, outside/NN, ./.] 	[A/DT, kid/NN, sitting/VBG, on/IN, a/DT, soccer/NN, ball/NN, at/IN, the/DT, park/NN, ./.] 	241
[The/DT, raven/NN, droned/VBD, as/RB, is/VBZ, hopped/VBN, along/IN, the/DT, grass/NN, ./.] 	[The/DT, skinny/JJ, dog/NN, with/IN, the/DT, long/JJ, tail/NN, is/VBZ, traveling/VBG, through/IN, the/DT, field/NN, ./.] 	242
[A/DT, man/NN, in/IN, a/DT, brown/JJ, coat/NN, rubs/VBZ, his/PRP$, nose/NN, ./.] 	[A/DT, bald/JJ, man/NN, with/IN, a/DT, red/JJ, beard/NN, holds/VBZ, his/PRP$, hand/NN, near/IN, his/PRP$, mouth/NN, ./.] 	243
[The/DT, dog/NN, is/VBZ, chasing/VBG, the/DT, geese/NNS, ./.] 	[One/CD, dog/NN, is/VBZ, chasing/VBG, the/DT, other/JJ, ./.] 	244
[Small/JJ, child/NN, playing/VBG, with/IN, letter/NN, P/NN] 	[2/CD, young/JJ, girls/NNS, are/VBP, sitting/VBG, in/IN, front/NN, of/IN, a/DT, bookcase/NN, and/CC, 1/CD, is/VBZ, reading/VBG, a/DT, book/NN, ./.] 	245
[A/DT, brown/JJ, dog/NN, is/VBZ, jumping/VBG, ./.] 	[A/DT, brown/JJ, dog/NN, is/VBZ, jumping/VBG] 	246
[the/DT, man/NN, is/VBZ, catching/VBG, a/DT, ball/NN] 	[A/DT, man/NN, is/VBZ, kicking/VBG, a/DT, ball/NN, ./.] 	247
[Two/CD, men/NNS, are/VBP, sitting/VBG, in/IN, the/DT, room/NN, ./.] 	[Two/CD, men/NNS, are/VBP, standing/VBG, in/IN, a/DT, room/NN, ./.] 	248
[A/DT, group/NN, of/IN, teenagers/NNS, in/IN, red/JJ, shirts/NNS, are/VBP, smiling/VBG, ./.] 	[A/DT, group/NN, of/IN, people/NNS, are/VBP, wearing/VBG, orange/JJ, shirts/NNS, ./.] 	249
[The/DT, woman/NN, is/VBZ, waiting/VBG, for/IN, her/PRP$, date/NN, ./.] 	[The/DT, woman/NN, is/VBZ, on/IN, her/PRP$, way/NN, to/TO, a/DT, date/NN, ./.] 	250
